['312', '343', '344', '336', '342'],342
['343', '344', '336', '342', '342'],325
['344', '336', '342', '342', '325'],312
['336', '342', '342', '325', '312'],343
['342', '342', '325', '312', '343'],312
['342', '325', '312', '343', '312'],312
['325', '312', '343', '312', '312'],343
['312', '343', '312', '312', '343'],344
['343', '312', '312', '343', '344'],336
['312', '312', '343', '344', '336'],351
['312', '343', '344', '336', '351'],359
['343', '344', '336', '351', '359'],326
['344', '336', '351', '359', '326'],351
['336', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],351
['326', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],351
['326', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],351
['326', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],344
['326', '351', '359', '326', '344'],336
['351', '359', '326', '344', '336'],354
['359', '326', '344', '336', '354'],359
['326', '344', '336', '354', '359'],326
['344', '336', '354', '359', '326'],351
['336', '354', '359', '326', '351'],359
['354', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],344
['326', '351', '359', '326', '344'],336
['351', '359', '326', '344', '336'],343
['359', '326', '344', '336', '343'],344
['326', '344', '336', '343', '344'],336
['344', '336', '343', '344', '336'],344
['336', '343', '344', '336', '344'],336
['343', '344', '336', '344', '336'],312
['344', '336', '344', '336', '312'],312
['336', '344', '336', '312', '312'],343
['344', '336', '312', '312', '343'],351
['336', '312', '312', '343', '351'],359
['312', '312', '343', '351', '359'],326
['312', '343', '351', '359', '326'],351
['343', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],351
['326', '351', '359', '326', '351'],359
['351', '359', '326', '351', '359'],326
['359', '326', '351', '359', '326'],351
['326', '351', '359', '326', '351'],359
